time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2021/06/10/18:44:22.177650,234666,1623343462,212748004,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:22.243195,234667,1623343462,262748004,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:22.280488,234668,1623343462,312748004,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:22.338677,234669,1623343462,362748004,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:22.391103,234670,1623343462,412748004,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:22.449816,234671,1623343462,462748004,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:22.473925,234672,1623343462,512748004,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:22.536431,234673,1623343462,562748004,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:22.575998,234674,1623343462,612748004,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:22.640560,234675,1623343462,662748004,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:22.685270,234676,1623343462,712748004,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:22.739644,234677,1623343462,762748004,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:22.774301,234678,1623343462,812748004,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:22.838301,234679,1623343462,862748004,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:22.879708,234680,1623343462,912748004,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:22.937497,234681,1623343462,962748004,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:22.975022,234682,1623343463,12748004,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:23.038012,234683,1623343463,62748004,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:23.076391,234684,1623343463,112748004,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:23.141796,234685,1623343463,162748004,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:23.176586,234686,1623343463,212748004,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:23.241838,234687,1623343463,262748004,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:23.280883,234688,1623343463,312682077,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:23.339142,234689,1623343463,362682077,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:23.375052,234690,1623343463,412682077,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:23.438759,234691,1623343463,462682077,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:23.476750,234692,1623343463,512682077,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:23.540701,234693,1623343463,562682077,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:23.577629,234694,1623343463,612682077,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:23.639344,234695,1623343463,662682077,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:23.678598,234696,1623343463,712682077,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:23.736129,234697,1623343463,762682077,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:23.782440,234698,1623343463,812682077,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:23.837933,234699,1623343463,862682077,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:23.873602,234700,1623343463,912682077,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:23.936745,234701,1623343463,962682077,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:23.978249,234702,1623343464,12682077,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:24.041585,234703,1623343464,62682077,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:24.079504,234704,1623343464,112682077,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:24.141049,234705,1623343464,162682077,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
