time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
2021/06/10/18:44:56.592805,0.146153846154,0.0,0.0,0.0,0.0,0.279661016949
2021/06/10/18:44:56.667694,0.146153846154,0.0,0.0,0.0,0.0,0.279661016949
2021/06/10/18:44:56.786582,0.142307692308,0.0,0.0,0.0,0.0,0.279661016949
2021/06/10/18:44:56.910001,0.15,0.0,0.0,0.0,0.0,0.279661016949
2021/06/10/18:44:56.966191,0.146153846154,0.0,0.0,0.0,0.0,0.279661016949
2021/06/10/18:44:57.026474,0.146153846154,0.0,0.0,0.0,0.0,0.279661016949
2021/06/10/18:44:57.102925,0.146153846154,0.0,0.0,0.0,0.0,0.279661016949
2021/06/10/18:44:57.149899,0.142307692308,0.0,0.0,0.0,0.0,0.279661016949
2021/06/10/18:44:57.296709,0.15,0.0,0.0,0.0,0.0,0.238983050847
2021/06/10/18:44:57.446336,0.15,0.0,0.0,0.0,0.0,0.269491525424
2021/06/10/18:44:57.502190,0.146153846154,0.0,0.0,0.0,0.0,0.269491525424
2021/06/10/18:44:57.566233,0.142307692308,0.0,0.0,0.0,0.0,0.269491525424
2021/06/10/18:44:57.618333,0.15,0.0,0.0,0.0,0.0,0.228813559322
2021/06/10/18:44:57.765929,0.15,0.0,0.0,0.0,0.0,0.269491525424
2021/06/10/18:44:57.909495,0.146153846154,0.0,0.0,0.0,0.0,0.259322033898
2021/06/10/18:44:58.051973,0.146153846154,0.0,0.0,0.0,0.0,0.259322033898
2021/06/10/18:44:58.197202,0.15,0.0,0.0,0.0,0.0,0.218644067797
2021/06/10/18:44:58.251244,0.146153846154,0.0,0.0,0.0,0.0,0.218644067797
2021/06/10/18:44:58.304034,0.142307692308,0.0,0.0,0.0,0.0,0.218644067797
2021/06/10/18:44:58.363361,0.15,0.0,0.0,0.0,0.0,0.177966101695
2021/06/10/18:44:58.421007,0.15,0.0,0.0,0.0,0.0,0.177966101695
2021/06/10/18:44:58.485247,0.146153846154,0.0,0.0,0.0,0.0,0.177966101695
2021/06/10/18:44:58.540103,0.146153846154,0.0,0.0,0.0,0.0,0.167796610169
2021/06/10/18:44:58.601186,0.146153846154,0.0,0.0,0.0,0.0,0.167796610169
2021/06/10/18:44:58.733892,0.142307692308,0.0,0.0,0.0,0.0,0.167796610169
2021/06/10/18:44:58.793427,0.15,0.0,0.0,0.0,0.0,0.177966101695
2021/06/10/18:44:58.924267,0.15,0.0,0.0,0.0,0.0,0.177966101695
2021/06/10/18:44:59.053525,0.146153846154,0.0,0.0,0.0,0.0,0.167796610169
2021/06/10/18:44:59.120616,0.142307692308,0.0,0.0,0.0,0.0,0.167796610169
2021/06/10/18:44:59.206161,0.142307692308,0.0,0.0,0.0,0.0,0.167796610169
2021/06/10/18:44:59.306273,0.15,0.0,0.0,0.0,0.0,0.137288135593
2021/06/10/18:44:59.383863,0.15,0.0,0.0,0.0,0.0,0.137288135593
2021/06/10/18:44:59.485398,0.15,0.0,0.0,0.0,0.0,0.137288135593
2021/06/10/18:44:59.547642,0.146153846154,0.0,0.0,0.0,0.0,0.0864406779661
2021/06/10/18:44:59.608287,0.146153846154,0.0,0.0,0.0,0.0,0.0661016949153
2021/06/10/18:44:59.740131,0.146153846154,0.0,0.0,0.0,0.0,0.0457627118644
2021/06/10/18:44:59.837942,0.142307692308,0.0,0.0,0.0,0.0,0.0457627118644
2021/06/10/18:44:59.900856,0.15,0.0,0.0,0.0,0.0,0.0559322033898
2021/06/10/18:44:59.972552,0.15,0.0,0.0,0.0,0.0,0.0254237288136
2021/06/10/18:45:00.046808,0.15,0.0,0.0,0.0,0.0,0.0152542372881
2021/06/10/18:45:00.114116,0.146153846154,0.0,0.0,0.0,0.0,0.0152542372881
2021/06/10/18:45:00.181843,0.146153846154,0.0,0.0,0.0,0.0,0.00508474576271
2021/06/10/18:45:00.246500,0.142307692308,0.0,0.0,0.0,0.0,0.0254237288136
2021/06/10/18:45:00.312088,0.142307692308,0.0,0.0,0.0,0.0,0.0
2021/06/10/18:45:00.381576,0.138461538462,0.0,0.0,0.0,0.0,0.0254237288136
2021/06/10/18:45:00.451260,0.15,0.0,0.0,0.0,0.0,0.0
2021/06/10/18:45:00.507325,0.15,0.0,0.0,0.0,0.0,0.0
2021/06/10/18:45:00.577553,0.146153846154,0.0,0.0,0.0,0.0,0.0
2021/06/10/18:45:00.644463,0.146153846154,0.0,0.0,0.0,0.0,0.0
2021/06/10/18:45:00.711613,0.142307692308,0.0,0.0,0.0,0.0,-0.00508474576271
2021/06/10/18:45:00.778470,0.142307692308,0.0,0.0,0.0,0.0,-0.0152542372881
2021/06/10/18:45:00.831919,0.142307692308,0.0,0.0,0.0,0.0,-0.035593220339
2021/06/10/18:45:00.892627,0.138461538462,0.0,0.0,0.0,0.0,-0.0152542372881
2021/06/10/18:45:00.962222,0.15,0.0,0.0,0.0,0.0,-0.0457627118644
2021/06/10/18:45:01.026540,0.15,0.0,0.0,0.0,0.0,-0.0559322033898
2021/06/10/18:45:01.094679,0.146153846154,0.0,0.0,0.0,0.0,-0.0457627118644
2021/06/10/18:45:01.192621,0.146153846154,0.0,0.0,0.0,0.0,-0.0457627118644
2021/06/10/18:45:01.236206,0.142307692308,0.0,0.0,0.0,0.0,-0.035593220339
2021/06/10/18:45:01.305037,0.15,0.0,0.0,0.0,0.0,-0.035593220339
2021/06/10/18:45:01.382129,0.146153846154,0.0,0.0,0.0,0.0,-0.0254237288136
2021/06/10/18:45:01.449555,0.15,0.0,0.0,0.0,0.0,-0.0661016949153
2021/06/10/18:45:01.514050,0.146153846154,0.0,0.0,0.0,0.0,-0.0559322033898
2021/06/10/18:45:01.583993,0.146153846154,0.0,0.0,0.0,0.0,-0.0559322033898
2021/06/10/18:45:01.711073,0.146153846154,0.0,0.0,0.0,0.0,-0.0762711864407
2021/06/10/18:45:01.840275,0.15,0.0,0.0,0.0,0.0,-0.0457627118644
2021/06/10/18:45:01.968615,0.15,0.0,0.0,0.0,0.0,-0.0661016949153
2021/06/10/18:45:02.034723,0.146153846154,0.0,0.0,0.0,0.0,-0.0661016949153
2021/06/10/18:45:02.085201,0.146153846154,0.0,0.0,0.0,0.0,-0.0762711864407
2021/06/10/18:45:02.145641,0.146153846154,0.0,0.0,0.0,0.0,-0.0864406779661
2021/06/10/18:45:02.215385,0.15,0.0,0.0,0.0,0.0,-0.0559322033898
2021/06/10/18:45:02.312689,0.15,0.0,0.0,0.0,0.0,-0.0661016949153
2021/06/10/18:45:02.419985,0.146153846154,0.0,0.0,0.0,0.0,-0.0559322033898
2021/06/10/18:45:02.506825,0.146153846154,0.0,0.0,0.0,0.0,-0.0559322033898
2021/06/10/18:45:02.644849,0.146153846154,0.0,0.0,0.0,0.0,-0.0559322033898
2021/06/10/18:45:02.786087,0.146153846154,0.0,0.0,0.0,0.0,-0.116949152542
2021/06/10/18:45:02.910995,0.15,0.0,0.0,0.0,0.0,-0.147457627119
2021/06/10/18:45:02.965808,0.146153846154,0.0,0.0,0.0,0.0,-0.147457627119
2021/06/10/18:45:03.023087,0.146153846154,0.0,0.0,0.0,0.0,-0.157627118644
2021/06/10/18:45:03.088271,0.15,0.0,0.0,0.0,0.0,-0.127118644068
2021/06/10/18:45:03.148947,0.15,0.0,0.0,0.0,0.0,-0.137288135593
2021/06/10/18:45:03.218034,0.15,0.0,0.0,0.0,0.0,-0.137288135593
2021/06/10/18:45:03.285204,0.146153846154,0.0,0.0,0.0,0.0,-0.137288135593
2021/06/10/18:45:03.347155,0.15,0.0,0.0,0.0,0.0,-0.157627118644
2021/06/10/18:45:03.437949,0.15,0.0,0.0,0.0,0.0,-0.157627118644
2021/06/10/18:45:03.530936,0.146153846154,0.0,0.0,0.0,0.0,-0.157627118644
2021/06/10/18:45:03.656896,0.146153846154,0.0,0.0,0.0,0.0,-0.167796610169
2021/06/10/18:45:03.788554,0.15,0.0,0.0,0.0,0.0,-0.147457627119
2021/06/10/18:45:03.907413,0.146153846154,0.0,0.0,0.0,0.0,-0.147457627119
2021/06/10/18:45:04.034117,0.15,0.0,0.0,0.0,0.0,-0.167796610169
2021/06/10/18:45:04.171622,0.146153846154,0.0,0.0,0.0,0.0,-0.167796610169
2021/06/10/18:45:04.294838,0.15,0.0,0.0,0.0,0.0,-0.137288135593
2021/06/10/18:45:04.417795,0.146927522931,0.0,0.0,0.0,0.0,-0.137288135593
2021/06/10/18:45:04.539718,0.143812180927,0.0,0.0,0.0,0.0,-0.137288135593
2021/06/10/18:45:04.667592,0.140489024201,0.0,0.0,0.0,0.0,-0.137288135593
2021/06/10/18:45:04.726894,0.137165203058,0.0,0.0,0.0,0.0,-0.137288135593
2021/06/10/18:45:04.824383,0.135616642523,0.0,0.0,0.0,0.0,-0.137288135593
2021/06/10/18:45:04.902142,0.133307017427,0.0,0.0,0.0,0.0,-0.137288135593
2021/06/10/18:45:05.005935,0.131287073948,0.0,0.0,0.0,0.0,-0.137288135593
2021/06/10/18:45:05.092432,0.125637187304,0.0,0.0,0.0,0.0,-0.127118644068
2021/06/10/18:45:05.157293,0.126841965321,0.0,0.0,0.0,0.0,-0.137288135593
2021/06/10/18:45:05.214860,0.126565900483,0.0,0.0,0.0,0.0,-0.137288135593
2021/06/10/18:45:05.326121,0.120514930911,0.0,0.0,0.0,0.0,-0.127118644068
2021/06/10/18:45:05.385472,0.118234352415,0.0,0.0,0.0,0.0,-0.127118644068
2021/06/10/18:45:05.440586,0.116771774694,0.0,0.0,0.0,0.0,-0.127118644068
2021/06/10/18:45:05.500056,0.115664130224,0.0,0.0,0.0,0.0,-0.127118644068
